"","campaign","name","keywords","",""
"113","SEM_Campaign","Kapunga Thin Rice","+quality +kapunga +thin +rice +low +effort","Broad","Quality;Low Effort"
"114","SEM_Campaign","Kapunga Thin Rice","quality delicious kapunga thin rice","Exact","Quality;Delicious"
"115","SEM_Campaign","Kapunga Thin Rice","quality delicious kapunga thin rice","Phrase","Quality;Delicious"
"116","SEM_Campaign","Kapunga Thin Rice","+quality +delicious +kapunga +thin +rice","Broad","Quality;Delicious"
"117","SEM_Campaign","Kapunga Thin Rice","quality low effort kapunga thin rice","Exact","Quality;Low Effort"
"118","SEM_Campaign","Kapunga Thin Rice","quality low effort kapunga thin rice","Phrase","Quality;Low Effort"
"119","SEM_Campaign","Kapunga Thin Rice","+quality +low +effort +kapunga +thin +rice","Broad","Quality;Low Effort"
"120","SEM_Campaign","Kapunga Thin Rice","delicious kapunga thin rice quality","Exact","Delicious;Quality"
"121","SEM_Campaign","Kapunga Thin Rice","delicious kapunga thin rice quality","Phrase","Delicious;Quality"
"122","SEM_Campaign","Kapunga Thin Rice","+delicious +kapunga +thin +rice +quality","Broad","Delicious;Quality"
"123","SEM_Campaign","Kapunga Thin Rice","delicious kapunga thin rice low effort","Exact","Delicious;Low Effort"
"124","SEM_Campaign","Kapunga Thin Rice","delicious kapunga thin rice low effort","Phrase","Delicious;Low Effort"
"125","SEM_Campaign","Kapunga Thin Rice","+delicious +kapunga +thin +rice +low +effort","Broad","Delicious;Low Effort"
"126","SEM_Campaign","Kapunga Thin Rice","delicious quality kapunga thin rice","Exact","Delicious;Quality"
"127","SEM_Campaign","Kapunga Thin Rice","delicious quality kapunga thin rice","Phrase","Delicious;Quality"
"128","SEM_Campaign","Kapunga Thin Rice","+delicious +quality +kapunga +thin +rice","Broad","Delicious;Quality"
"129","SEM_Campaign","Kapunga Thin Rice","delicious low effort kapunga thin rice","Exact","Delicious;Low Effort"
"130","SEM_Campaign","Kapunga Thin Rice","delicious low effort kapunga thin rice","Phrase","Delicious;Low Effort"
"131","SEM_Campaign","Kapunga Thin Rice","+delicious +low +effort +kapunga +thin +rice","Broad","Delicious;Low Effort"
"132","SEM_Campaign","Kapunga Thin Rice","low effort kapunga thin rice quality","Exact","Low Effort;Quality"
